VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
350763;9350763;Werneuchen, Ambulatorium;5834738;4617966;52632790;13740895
350764;9350764;Werneuchen, ThŠlmannstr.;5833564;4618684;52622089;13751074
350765;9350765;Werneuchen, Altstadt;5834519;4617366;52630953;13731959
350766;9350766;Werneuchen, Ost;5837126;4620523;52653678;13779514
350767;9350767;Werneuchen, Wei§dornweg;5835333;4617368;52638264;13732278
350768;9350768;Willmersdorf (BAR);5838078;4613908;52663657;13682137
350789;9350789;Zepernick, Dransehaus;5836532;4604401;52651681;13541184
350790;9350790;Zepernick, Elbingroder Str.;5836125;4605554;52647802;13558085
350791;9350791;Zepernick, HŠndelstr.;5837113;4604796;52656824;13547203
350792;9350792;Zepernick, Am Heidehaus;5838027;4603613;52665262;13530014
350793;9350793;Zepernick, KŸhler Grund;5836009;4605125;52646843;13551712
350794;9350794;Zepernick, MalzmŸhle;5837541;4605446;52660543;13556942
350795;9350795;Zepernick, MŸhle;5836326;4604685;52649776;13545314
350796;9350796;Zepernick, Poststr.;5837035;4603917;52656292;13534193
350797;9350797;Zepernick, Schumannstr.;5836783;4605364;52653750;13555489
350798;9350798;Zepernick, Stern;5836762;4604494;52653729;13542631
350799;9350799;Zepernick, Thalestr.;5836363;4605291;52649991;13554276
350800;9350800;Zepernick, Wernigeroder Str.;5836394;4604937;52650338;13549058
350801;9350801;Zepernick, Zellerfelder Str.;5836136;4605764;52647860;13561190
350802;9350802;Zerpenschleuse, Kita/An der B 109;5859379;4603219;52857142;13530908
350803;9350803;Zerpenschleuse, Ausbau;5861037;4603746;52871934;13539256
350804;9350804;Zerpenschleuse, Dorf;5858862;4603034;52852533;13527999
350805;9350805;Zerpenschleuse, Forststr.;5860198;4603479;52864449;13535026
350806;9350806;Joachimsthal, Werbellinseeblick;5869581;4615600;52946264;13718259
350807;9350807;Stolzenhagen (bei Wandlitz), Kreuzung ZŸhlsdorf;5846934;4596809;52746534;13432096
350809;9350809;AlthŸttendorf, Bahnhof;5870894;4619912;52957112;13782861
350811;9350811;Joachimsthal, Bahnhof;5873420;4617610;52980308;13749540
350813;9350813;Wandlitz, Am Roseneck;5848273;4599556;52758064;13473167
350814;9350814;Zerpenschleuse, Am Finowkanal;5857819;4604571;52842868;13550472
350815;9350815;Gro§ Schšnebeck, Wildpark;5866030;4605305;52916482;13564015
350816;9350816;Hohenfinow, Feuerwehr;5855221;4630178;52813964;13929273
350817;9350817;Eberswalde, Schule Nordend;5858656;4622456;52846622;13816093
350818;9350818;Bernau, Zepernicker Chaussee;5838805;4605900;52671809;13564055
350820;9350820;Bernau, Eichwerder;5837839;4605471;52663215;13557406
350821;9350821;Bernau, Barnim-Gymnasium;5842586;4604430;52706059;13543530
350822;9350822;Lindenberg (BAR), Ahrensfelder Weg;5831097;4603794;52602974;13530513
350823;9350823;Lindenberg (BAR), Karl-Marx-Str.;5831079;4603569;52602855;13527187
350824;9350824;Lindenberg (BAR), Klarahšh Wasserwerk;5829900;4603787;52592222;13530035
350825;9350825;Wandlitz, Hort;5847561;4598293;52751899;13454252
350826;9350826;Gro§ Schšnebeck, Bšhmerheide Ausbau;5862691;4599909;52887517;13482799
350827;9350827;Mehrow, Abzweig Hšnow;5827000;4610000;52564952;13620718
350828;9350828;Joachimsthal, Am Knick;5873309;4617711;52979289;13751002
350829;9350829;Werneuchen, Grundschule;5833473;4619738;52621040;13766597
350830;9350830;Werneuchen, Beiersdorfer Str.;5835196;4618140;52636866;13743627
350831;9350831;Tiefensee, Kaliebeweg;5840458;4624341;52682745;13837160
350832;9350832;Zepernick, Holbeinstr.;5837964;4603305;52664755;13525443
350834;9350834;Zepernick, Fontanestr.;5836875;4603277;52654977;13524689
350835;9350835;Neulindenberg, Birkholzer Allee;5830672;4605461;52598835;13554973
350836;9350836;Zepernick, Bebelstr.;5837605;4603334;52661524;13525759
350838;9350838;Zepernick, Seniorenheim;5836865;4602264;52655079;13509722
350839;9350839;Werneuchen, Wasserwerk;;;526309309;137419807
350840;9350840;Schšnow (BAR), Kirche;5839560;4603840;52678990;13533850
350843;9350843;Bernau, Innovationszentrum;5841882;4604464;52699728;13543809
350844;9350844;Klosterfelde, Triftstr.;5853186;4599724;52802167;13477149
350845;9350845;Klosterfelde, SchŸtzenstr.;5853280;4600185;52802927;13484011
350846;9350846;Werbellin, Wendestelle;5863135;4614457;52888610;13698994
350847;9350847;Joachimsthal, Chausseestr.;5872069;4617702;52968154;13750418
350850;9350850;Eberswalde, Asphaltwerk;5859205;4618841;52852362;13762663
350855;9350855;Liepe (BAR), Fischerstr.;5860535;4632670;52861081;13968369
350856;9350856;Bernau, Pegasusstr.;5838808;4608273;52671368;13599122
350857;9350857;Bernau, Herkulesstr.;5838753;4608474;52670834;13602074
350858;9350858;Bernau, Sonnenallee;5839118;4608558;52674096;13603436
350859;9350859;Bernau, Bšrnicker Chaussee;5839363;4608480;52676312;13602364
350860;9350860;Bernau, Bahnhofs-Passage;5839479;4608144;52677421;13597436
350861;9350861;Bernau, Berliner Str.;5839535;4607619;52678029;13589695
350862;9350862;Bernau, Stadtpark;5839404;4607236;52676928;13583992
350863;9350863;Bernau, Am Forum;5839145;4606496;52674747;13572972
350864;9350864;Lobetal, An der einsamen Kiefer;5844875;4608111;52725899;13598720
350865;9350865;Bernau, Newastr.;;;526734222;135623681
350866;9350866;Bernau, Elbestr.;5838562;4605471;52669710;13557637
350876;9350876;Wandlitz, Grundschule;5847035;4598953;52747053;13463865
350877;9350877;Wandlitz, Gymnasium;5847440;4599235;52750640;13468162
350878;9350878;Wandlitz, Grundschule Wendestelle;5847052;4599071;52747184;13465617
350881;9350881;Neuendorf (bei Oderberg), Bahnhof;5863935;4639293;52889943;14068093
350886;9350886;Seefeld (Mark), Strandbad;5833774;4614110;52624954;13683635
350887;9350887;Seefeld (Mark), Eichenstr.;5832899;4613115;52617302;13668648
350888;9350888;Britz, Eberswalder Str.;5861098;4622905;52868453;13823673
350889;9350889;Zepernick, Ilsenburger Str.;5836411;4604607;52650554;13544189
350890;9350890;Zepernick, Blankenburger Str.;5836052;4605083;52647238;13551105
350894;9350894;Werneuchen, Rathenaustr.;5833352;4618492;52620226;13748164
350895;9350895;Werneuchen, Wegendorfer/Freienwalder Str.;5834300;4617760;52628901;13737698
350896;9350896;Eberswalde, Alfred-Mšller-Str.;5856346;4621847;52826013;13806197
350898;9350898;Glambeck (BAR), Wendestelle;5878356;4622286;53023595;13820987
350899;9350899;Klein Ziethen (BAR), Schmargendorfer Weg;5871910;4630059;52963875;13934174
350904;9350904;Schwanebeck (BAR), Kleiststr.;5834043;4602923;52629604;13518578
350905;9350905;Bernau, Sachtelebenstr./Puschkinstr.;5840364;4607610;52685477;13589833
350906;9350906;Bernau, Merkurstr.;5839218;4608381;52675029;13600853
350908;9350908;Chorin, Abzweig Brodowin;5866803;4628202;52918456;13904536
350909;9350909;Schwanebeck (BAR), Neue KŠrntner Str.;5833980;4603598;52628910;13528523
350910;9350910;Bernau, Puschkinstr.;5840192;4607608;52683933;13589747
350911;9350911;Bernau, Neues Krankenhaus;5839966;4607203;52681983;13583687
350912;9350912;Bernau, Markt;5839665;4607457;52679228;13587343
350913;9350913;Bernau, Gorkistr.;5840434;4607994;52686030;13595532
350914;9350914;Bernau, Breite Str. (Markt);5839713;4607516;52679648;13588231
350915;9350915;Bernau, Friedhof;5839813;4607269;52680595;13584613
350916;9350916;Bernau, Hermann-Duncker-Str.;5840248;4607961;52684365;13594983
350917;9350917;Bernau, Brauerstr./Berliner Str.;5839533;4607589;52678017;13589251
350920;9350920;Lichterfelde (BAR), Rosenweg;5860141;4618069;52860939;13751547
350926;9350926;Schšnow (BAR), Schšnerlinder Str.;5839030;4603589;52674276;13529974
350927;9350927;Schšnow (BAR), Zepernicker Str.;5839479;4603350;52678355;13526583
350935;9350935;Dšlln, Heide;5874422;4606206;52991686;13580151
350940;9350940;Bernau, Barnimer Busgesellschaft;5839996;4606613;52682368;13574976
350941;9350941;Bernau, Bildungseinrichtung;5841616;4609979;52696248;13625269
350942;9350942;Bernau, Wielandstr.;5839516;4609294;52677523;13614444
350943;9350943;Bernau, W.-von-Siemens-Str.;5840401;4606329;52686062;13570909
350944;9350944;Bernau, Borsig-Str.;5840554;4605987;52687503;13565903
